run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
bloom_ecoli_k15_k15_ec76be8a78_run0,ecoli_k15,bloom,"{'false_positive_rate': 0.01, 'expected_items': 4517652}",15,4517652,19.603581417002715,5412745,1.1981323483969106,1.0,0.0096,244575.27155787643,4.0887208000640385,4.0887208000640385,4.0887208000640385,4.0887208000640385,"{'sequential_qps': 301476.98391186184, 'random_qps': 299559.1445171308, 'repeated_qps': 331697.8713665049, 'batch_size': 5000}","{'filter_name': 'bloom', 'parameters': {'expected_items': 4517652, 'false_positive_rate': 0.01, 'num_bits': 43301959, 'num_hashes': 7, 'hash_seed': 7}, 'inserted_keys': 4517652, 'target_false_positive_rate': 0.01, 'actual_memory_usage_bytes': 5412745, 'build_time_seconds': 19.60240899998462, 'bits_per_item': 9.58505856582136, 'built': True}"
bloom_ecoli_k15_k15_e0b6ba4a7f_run0,ecoli_k15,bloom,"{'false_positive_rate': 0.001, 'expected_items': 4517652}",15,4517652,26.909137374983402,8119118,1.7971986332723282,1.0,0.0011,188964.6978982134,5.291993748687673,5.291993748687673,5.291993748687673,5.291993748687673,"{'sequential_qps': 265873.771901048, 'random_qps': 252126.97679682617, 'repeated_qps': 284739.15981436026, 'batch_size': 5000}","{'filter_name': 'bloom', 'parameters': {'expected_items': 4517652, 'false_positive_rate': 0.001, 'num_bits': 64952938, 'num_hashes': 10, 'hash_seed': 7}, 'inserted_keys': 4517652, 'target_false_positive_rate': 0.001, 'actual_memory_usage_bytes': 8119118, 'build_time_seconds': 26.90736049998668, 'bits_per_item': 14.377587738055079, 'built': True}"
bloom_ecoli_k15_k15_a4489d3643_run0,ecoli_k15,bloom,"{'false_positive_rate': 0.0001, 'expected_items': 4517652}",15,4517652,29.633537249988876,10825490,2.3962646967938213,1.0,0.0004,193873.9083210212,5.157991648593452,5.157991648593452,5.157991648593452,5.157991648593452,"{'sequential_qps': 253084.99653467827, 'random_qps': 241762.12483720758, 'repeated_qps': 243247.0247664212, 'batch_size': 5000}","{'filter_name': 'bloom', 'parameters': {'expected_items': 4517652, 'false_positive_rate': 0.0001, 'num_bits': 86603917, 'num_hashes': 13, 'hash_seed': 7}, 'inserted_keys': 4517652, 'target_false_positive_rate': 0.0001, 'actual_memory_usage_bytes': 10825490, 'build_time_seconds': 29.631122082995716, 'bits_per_item': 19.170116910288797, 'built': True}"
