run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
cuckoo_synth_k31_k31_864e6b700f_run0,synth_k31,cuckoo,"{'fingerprint_bits': 8, 'capacity': 399760}",31,399760,0.9885000410722569,524288,1.3115069041424854,1.0,0.0216,378532.47429926705,2.6417812681756914,2.6123646006453782,2.6123646006453782,2.6123646006453782,"{'sequential_qps': 470146.3492989353, 'random_qps': 481549.9447112172, 'repeated_qps': 494967.8267310384, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 8, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.00390625, 'actual_memory_usage_bytes': 524288, 'build_time_seconds': 0.9432091250782833, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_864e6b700f_run1,synth_k31,cuckoo,"{'fingerprint_bits': 8, 'capacity': 399760}",31,399760,0.9581203749403358,524288,1.3115069041424854,1.0,0.0248,458835.15611230565,2.179431952148055,2.1845229028258473,2.1845229028258473,2.1845229028258473,"{'sequential_qps': 475927.34291959385, 'random_qps': 476396.5379872415, 'repeated_qps': 493820.3815767837, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 8, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.00390625, 'actual_memory_usage_bytes': 524288, 'build_time_seconds': 0.9330327910138294, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_864e6b700f_run2,synth_k31,cuckoo,"{'fingerprint_bits': 8, 'capacity': 399760}",31,399760,0.9518149590585381,524288,1.3115069041424854,1.0,0.0238,459553.835168504,2.1760236200255654,2.1693749993573874,2.1693749993573874,2.1693749993573874,"{'sequential_qps': 483092.42514795176, 'random_qps': 485334.12457899767, 'repeated_qps': 511816.5635468598, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 8, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.00390625, 'actual_memory_usage_bytes': 524288, 'build_time_seconds': 0.9260244580218568, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_db37f0bc22_run0,synth_k31,cuckoo,"{'fingerprint_bits': 12, 'capacity': 399760}",31,399760,0.9695910000009462,786432,1.9672603562137283,1.0,0.0014,428095.1695600946,2.33592918375507,2.3323812463786453,2.3323812463786453,2.3323812463786453,"{'sequential_qps': 450722.27992533543, 'random_qps': 460800.586121351, 'repeated_qps': 488433.5991471009, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 12, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.000244140625, 'actual_memory_usage_bytes': 786432, 'build_time_seconds': 0.943236208986491, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_db37f0bc22_run1,synth_k31,cuckoo,"{'fingerprint_bits': 12, 'capacity': 399760}",31,399760,0.9613806250272319,786432,1.9672603562137283,1.0,0.0012,411377.20675171365,2.4308590354242674,2.3714854032732546,2.3714854032732546,2.3714854032732546,"{'sequential_qps': 454325.7403482072, 'random_qps': 461458.59142769803, 'repeated_qps': 488169.3460497674, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 12, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.000244140625, 'actual_memory_usage_bytes': 786432, 'build_time_seconds': 0.9347014169907197, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_db37f0bc22_run2,synth_k31,cuckoo,"{'fingerprint_bits': 12, 'capacity': 399760}",31,399760,0.9825581670738757,786432,1.9672603562137283,1.0,0.0018,428292.1426017973,2.334854881822442,2.3358770937193185,2.3358770937193185,2.3358770937193185,"{'sequential_qps': 466535.16809066036, 'random_qps': 468852.56047736475, 'repeated_qps': 493579.3377021956, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 12, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.000244140625, 'actual_memory_usage_bytes': 786432, 'build_time_seconds': 0.9369282919215038, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_e20daf4cbf_run0,synth_k31,cuckoo,"{'fingerprint_bits': 14, 'capacity': 399760}",31,399760,0.9796253750100732,917504,2.2951370822493495,1.0,0.0004,427976.2149900896,2.3365784475269415,2.3280041466932744,2.3280041466932744,2.3280041466932744,"{'sequential_qps': 450034.3108980772, 'random_qps': 448833.58611663856, 'repeated_qps': 492426.88455104997, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 14, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 6.103515625e-05, 'actual_memory_usage_bytes': 917504, 'build_time_seconds': 0.9323690420715138, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_e20daf4cbf_run1,synth_k31,cuckoo,"{'fingerprint_bits': 14, 'capacity': 399760}",31,399760,0.9669732080074027,917504,2.2951370822493495,1.0,0.0002,422705.1353489595,2.365715285607924,2.363214554497972,2.363214554497972,2.363214554497972,"{'sequential_qps': 447355.00728428655, 'random_qps': 451435.55560697283, 'repeated_qps': 486434.5742856411, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 14, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 6.103515625e-05, 'actual_memory_usage_bytes': 917504, 'build_time_seconds': 0.9410316249122843, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
cuckoo_synth_k31_k31_e20daf4cbf_run2,synth_k31,cuckoo,"{'fingerprint_bits': 14, 'capacity': 399760}",31,399760,0.9642093330621719,917504,2.2951370822493495,1.0,0.0004,420497.6248882968,2.3781347166125975,2.378977049374953,2.378977049374953,2.378977049374953,"{'sequential_qps': 449710.50788590393, 'random_qps': 451307.0941752749, 'repeated_qps': 486322.8512177341, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 399760, 'bucket_size': 4, 'fingerprint_bits': 14, 'max_relocations': 500, 'bucket_count': 131072, 'random_seed': 7}, 'inserted_keys': 399760, 'target_false_positive_rate': 6.103515625e-05, 'actual_memory_usage_bytes': 917504, 'build_time_seconds': 0.9378982920898125, 'load_factor': 0.762481689453125, 'insertion_failures': 0, 'built': True}"
