run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
bloom_ecoli_k31_k31_f55bcaab6a_run0,ecoli_k31,bloom,"{'false_positive_rate': 0.01, 'expected_items': 4570839}",31,4570839,19.191933750000317,5476470,1.1981323341294672,1.0,0.0095,272439.355021462,3.670541651081294,3.670541651081294,3.670541651081294,3.670541651081294,"{'sequential_qps': 311635.6978379565, 'random_qps': 310751.74952607614, 'repeated_qps': 333160.889167909, 'batch_size': 5000}","{'filter_name': 'bloom', 'parameters': {'expected_items': 4570839, 'false_positive_rate': 0.01, 'num_bits': 43811759, 'num_hashes': 7, 'hash_seed': 7}, 'inserted_keys': 4570839, 'target_false_positive_rate': 0.01, 'actual_memory_usage_bytes': 5476470, 'build_time_seconds': 19.19074933399679, 'bits_per_item': 9.585058454257522, 'built': True}"
bloom_ecoli_k31_k31_c703c0b95f_run0,ecoli_k31,bloom,"{'false_positive_rate': 0.001, 'expected_items': 4570839}",31,4570839,22.062684583012015,8214705,1.7971985011942009,1.0,0.001,300785.9929444488,3.32462289952673,3.32462289952673,3.32462289952673,3.32462289952673,"{'sequential_qps': 340138.95419597736, 'random_qps': 348901.10662525543, 'repeated_qps': 385402.2458614236, 'batch_size': 5000}","{'filter_name': 'bloom', 'parameters': {'expected_items': 4570839, 'false_positive_rate': 0.001, 'num_bits': 65717638, 'num_hashes': 10, 'hash_seed': 7}, 'inserted_keys': 4570839, 'target_false_positive_rate': 0.001, 'actual_memory_usage_bytes': 8214705, 'build_time_seconds': 22.062038874952123, 'bits_per_item': 14.377587571997177, 'built': True}"
bloom_ecoli_k31_k31_ee48520c94_run0,ecoli_k31,bloom,"{'false_positive_rate': 0.0001, 'expected_items': 4570839}",31,4570839,27.8090365419921,10952940,2.3962646682589344,1.0,0.0001,185948.49173433598,5.377833348757122,5.377833348757122,5.377833348757122,5.377833348757122,"{'sequential_qps': 257560.47754211002, 'random_qps': 257817.41508661627, 'repeated_qps': 259771.55823682973, 'batch_size': 5000}","{'filter_name': 'bloom', 'parameters': {'expected_items': 4570839, 'false_positive_rate': 0.0001, 'num_bits': 87623518, 'num_hashes': 13, 'hash_seed': 7}, 'inserted_keys': 4570839, 'target_false_positive_rate': 0.0001, 'actual_memory_usage_bytes': 10952940, 'build_time_seconds': 27.806726750015514, 'bits_per_item': 19.170116908515045, 'built': True}"
