run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
cuckoo_ecoli_k21_k21_e909f7ef5f_run0,ecoli_k21,cuckoo,"{'false_positive_rate': 0.01, 'fingerprint_bits': 10, 'bucket_size': 4, 'capacity': 4562542}",21,4562542,16.70580350002274,10485760,2.29822761083624,1.0,0.0044,273063.6374033972,3.6621500010369346,3.6621500010369346,3.6621500010369346,3.6621500010369346,"{'sequential_qps': 304536.58404657996, 'random_qps': 306718.4155078802, 'repeated_qps': 333001.87044775777, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 4562542, 'bucket_size': 4, 'fingerprint_bits': 10, 'max_relocations': 500, 'bucket_count': 2097152, 'random_seed': 7}, 'inserted_keys': 4562542, 'target_false_positive_rate': 0.0078125, 'actual_memory_usage_bytes': 10485760, 'build_time_seconds': 16.21523137501208, 'load_factor': 0.5438973903656006, 'insertion_failures': 0, 'fingerprint_only_false_positive_rate': 0.0009765625, 'built': True}"
cuckoo_ecoli_k21_k21_6ab2a68b49_run0,ecoli_k21,cuckoo,"{'false_positive_rate': 0.001, 'fingerprint_bits': 13, 'bucket_size': 4, 'capacity': 4562542}",21,4562542,16.370538207993377,13631488,2.987695894087112,1.0,0.0009,266438.7159704998,3.7532082991674542,3.7532082991674542,3.7532082991674542,3.7532082991674542,"{'sequential_qps': 253478.82367929228, 'random_qps': 286092.7892963491, 'repeated_qps': 333265.435977875, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 4562542, 'bucket_size': 4, 'fingerprint_bits': 13, 'max_relocations': 500, 'bucket_count': 2097152, 'random_seed': 7}, 'inserted_keys': 4562542, 'target_false_positive_rate': 0.0009765625, 'actual_memory_usage_bytes': 13631488, 'build_time_seconds': 15.971870583016425, 'load_factor': 0.5438973903656006, 'insertion_failures': 0, 'fingerprint_only_false_positive_rate': 0.0001220703125, 'built': True}"
cuckoo_ecoli_k21_k21_549991f676_run0,ecoli_k21,cuckoo,"{'false_positive_rate': 0.0001, 'fingerprint_bits': 17, 'bucket_size': 4, 'capacity': 4562542}",21,4562542,16.42948404198978,17825792,3.906986938421608,1.0,0.0,267129.3917431662,3.7435042002471164,3.7435042002471164,3.7435042002471164,3.7435042002471164,"{'sequential_qps': 298975.2623861165, 'random_qps': 304627.03484001005, 'repeated_qps': 327649.2308061692, 'batch_size': 5000}","{'filter_name': 'cuckoo', 'parameters': {'capacity': 4562542, 'bucket_size': 4, 'fingerprint_bits': 17, 'max_relocations': 500, 'bucket_count': 2097152, 'random_seed': 7}, 'inserted_keys': 4562542, 'target_false_positive_rate': 6.103515625e-05, 'actual_memory_usage_bytes': 17825792, 'build_time_seconds': 16.031408208975336, 'load_factor': 0.5438973903656006, 'insertion_failures': 0, 'fingerprint_only_false_positive_rate': 7.62939453125e-06, 'built': True}"
