run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
learned_ecoli_k31_k31_f65d2a8089_run0,ecoli_k31,learned,"{'backup_false_positive_rate': 0.01, 'model_threshold': 0.5, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}",31,4570839,524.3339975000126,5213081,1.1405085587131816,1.0,0.0176,29026.33863805887,34.451468801125884,34.451468801125884,34.451468801125884,34.451468801125884,"{'sequential_qps': 29546.355191707644, 'random_qps': 29546.575826688942, 'repeated_qps': 30912.262092076937, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.8061803348331441, 'backup_false_positive_rate': 0.01, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}, 'inserted_keys': 4570839, 'target_false_positive_rate': 0.01, 'actual_memory_usage_bytes': 5213081, 'build_time_seconds': 522.7853738330014, 'built': True, 'model_eval': {'accuracy': 0.5211522025127402, 'avg_precision': 0.7058402552021581, 'true_positive_rate': 0.051281453086291943, 'false_positive_rate': 0.008706955789731687, 'threshold': 0.8061803348331441, 'roc_auc': 0.723406027919526, 'selected_threshold': 0.8061803348331441, 'model_fpr': 0.008706955789731687, 'model_fnr': 0.948718546913708, 'target_model_fpr': 0.01, 'used_fallback_selection': 0.0, 'model_false_negative_count': 4337318.0, 'model_false_negative_rate': 0.9489106923258509}, 'has_backup_filter': True}"
learned_ecoli_k31_k31_ddf41a4ee3_run0,ecoli_k31,learned,"{'backup_false_positive_rate': 0.001, 'model_threshold': 0.5, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}",31,4570839,366.2627824168885,8231105,1.8007864639292699,1.0,0.0008,41717.053040545674,23.971012502443045,23.971012502443045,23.971012502443045,23.971012502443045,"{'sequential_qps': 43700.202925446945, 'random_qps': 44013.126634958346, 'repeated_qps': 46739.60119749185, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 1.0, 'backup_false_positive_rate': 0.001, 'total_false_positive_rate': 0.001, 'model_false_positive_rate': 0.001, 'prefilter_false_positive_rate': None, 'refit_model_on_full_dataset': False, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}, 'inserted_keys': 4570839, 'target_false_positive_rate': 0.001, 'actual_memory_usage_bytes': 8231105, 'build_time_seconds': 365.74914554099087, 'built': True, 'model_eval': {'accuracy': 0.4998563356698842, 'avg_precision': 0.7053576478564269, 'true_positive_rate': 0.0, 'false_positive_rate': 0.0, 'threshold': 1.0, 'roc_auc': 0.7230287614843202, 'selected_threshold': 1.0, 'model_fpr': 0.0, 'model_fnr': 1.0, 'target_model_fpr': 0.001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 4570839.0, 'model_false_negative_rate': 1.0}, 'has_backup_filter': True, 'has_prefilter': False}"
learned_ecoli_k31_k31_ac13309b22_run0,ecoli_k31,learned,"{'backup_false_positive_rate': 0.0001, 'model_threshold': 0.5, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}",31,4570839,517.0725624999905,10969316,2.3998473803168303,1.0,0.0003,28526.875705156075,35.05466249916935,35.05466249916935,35.05466249916935,35.05466249916935,"{'sequential_qps': 29846.573747657094, 'random_qps': 29844.52744366334, 'repeated_qps': 31106.2094084618, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.9437243072515472, 'backup_false_positive_rate': 0.0001, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}, 'inserted_keys': 4570839, 'target_false_positive_rate': 0.0001, 'actual_memory_usage_bytes': 10969316, 'build_time_seconds': 515.5338913330052, 'built': True, 'model_eval': {'accuracy': 0.49985706493044313, 'avg_precision': 0.7058692570146672, 'true_positive_rate': 1.4581021633861799e-06, 'false_positive_rate': 0.0, 'threshold': 0.9437243072515472, 'roc_auc': 0.7230416128017387, 'selected_threshold': 0.9437243072515472, 'model_fpr': 0.0, 'model_fnr': 0.9999985418978367, 'target_model_fpr': 0.0001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 4570829.0, 'model_false_negative_rate': 0.9999978122178445}, 'has_backup_filter': True}"
