run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
learned_synth_k31_k31_2bcd7895b0_run0,synth_k31,learned,"{'backup_false_positive_rate': 0.01, 'model_threshold': 0.5}",31,399760,18.264483624952845,474682,1.1874174504702821,1.0,0.0222,77169.82657270473,12.958432646701112,12.650991696864367,12.650991696864367,12.650991696864367,"{'sequential_qps': 83167.86344810252, 'random_qps': 83113.56302382471, 'repeated_qps': 88425.95190330433, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5350526684078858, 'backup_false_positive_rate': 0.01}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.01, 'actual_memory_usage_bytes': 474682, 'build_time_seconds': 18.23432695795782, 'built': True, 'model_eval': {'accuracy': 0.5004502701620973, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 0.010733691123037434, 'false_positive_rate': 0.009277490405473052, 'threshold': 0.5350526684078858, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5350526684078858, 'model_fpr': 0.009277490405473052, 'model_fnr': 0.9892663088769625, 'target_model_fpr': 0.01, 'used_fallback_selection': 0.0, 'model_false_negative_count': 395310.0, 'model_false_negative_rate': 0.9888683209925956}, 'has_backup_filter': True}"
learned_synth_k31_k31_2bcd7895b0_run1,synth_k31,learned,"{'backup_false_positive_rate': 0.01, 'model_threshold': 0.5}",31,399760,18.496305124950595,474682,1.1874174504702821,1.0,0.0199,76731.25695998296,13.03249861424168,12.702704145340249,12.702704145340249,12.702704145340249,"{'sequential_qps': 83116.17337092654, 'random_qps': 83067.72752030393, 'repeated_qps': 83650.17838245849, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5350526684078858, 'backup_false_positive_rate': 0.01}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.01, 'actual_memory_usage_bytes': 474682, 'build_time_seconds': 18.46616345795337, 'built': True, 'model_eval': {'accuracy': 0.5004502701620973, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 0.010733691123037434, 'false_positive_rate': 0.009277490405473052, 'threshold': 0.5350526684078858, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5350526684078858, 'model_fpr': 0.009277490405473052, 'model_fnr': 0.9892663088769625, 'target_model_fpr': 0.01, 'used_fallback_selection': 0.0, 'model_false_negative_count': 395310.0, 'model_false_negative_rate': 0.9888683209925956}, 'has_backup_filter': True}"
learned_synth_k31_k31_2bcd7895b0_run2,synth_k31,learned,"{'backup_false_positive_rate': 0.01, 'model_threshold': 0.5}",31,399760,18.409070583060384,474682,1.1874174504702821,1.0,0.0197,76382.15097700812,13.092063881534463,12.785635399632156,12.785635399632156,12.785635399632156,"{'sequential_qps': 83220.09988131128, 'random_qps': 82865.24097742206, 'repeated_qps': 85541.14653190013, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5350526684078858, 'backup_false_positive_rate': 0.01}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.01, 'actual_memory_usage_bytes': 474682, 'build_time_seconds': 18.37870975001715, 'built': True, 'model_eval': {'accuracy': 0.5004502701620973, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 0.010733691123037434, 'false_positive_rate': 0.009277490405473052, 'threshold': 0.5350526684078858, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5350526684078858, 'model_fpr': 0.009277490405473052, 'model_fnr': 0.9892663088769625, 'target_model_fpr': 0.01, 'used_fallback_selection': 0.0, 'model_false_negative_count': 395310.0, 'model_false_negative_rate': 0.9888683209925956}, 'has_backup_filter': True}"
learned_synth_k31_k31_a0d8f21c39_run0,synth_k31,learned,"{'backup_false_positive_rate': 0.001, 'model_threshold': 0.5}",31,399760,18.754169499967247,719495,1.7998173904342605,1.0,0.0007,75347.42226993537,13.27185416400122,13.31766460207291,13.31766460207291,13.31766460207291,"{'sequential_qps': 81106.78319390753, 'random_qps': 80963.11957048962, 'repeated_qps': 83621.77042037604, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5637987473957508, 'backup_false_positive_rate': 0.001}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.001, 'actual_memory_usage_bytes': 719495, 'build_time_seconds': 18.726173709030263, 'built': True, 'model_eval': {'accuracy': 0.49972483490094055, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 1.666722224074136e-05, 'false_positive_rate': 0.0, 'threshold': 0.5637987473957508, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5637987473957508, 'model_fpr': 0.0, 'model_fnr': 0.9999833327777593, 'target_model_fpr': 0.001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 399759.0, 'model_false_negative_rate': 0.9999974984990995}, 'has_backup_filter': True}"
learned_synth_k31_k31_a0d8f21c39_run1,synth_k31,learned,"{'backup_false_positive_rate': 0.001, 'model_threshold': 0.5}",31,399760,18.664734916994348,719495,1.7998173904342605,1.0,0.001,76065.43911442412,13.146574997032682,13.155989546794444,13.155989546794444,13.155989546794444,"{'sequential_qps': 81664.02226387223, 'random_qps': 80907.73079317083, 'repeated_qps': 84876.43403614897, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5637987473957508, 'backup_false_positive_rate': 0.001}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.001, 'actual_memory_usage_bytes': 719495, 'build_time_seconds': 18.636889333021827, 'built': True, 'model_eval': {'accuracy': 0.49972483490094055, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 1.666722224074136e-05, 'false_positive_rate': 0.0, 'threshold': 0.5637987473957508, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5637987473957508, 'model_fpr': 0.0, 'model_fnr': 0.9999833327777593, 'target_model_fpr': 0.001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 399759.0, 'model_false_negative_rate': 0.9999974984990995}, 'has_backup_filter': True}"
learned_synth_k31_k31_a0d8f21c39_run2,synth_k31,learned,"{'backup_false_positive_rate': 0.001, 'model_threshold': 0.5}",31,399760,18.791423958027735,719495,1.7998173904342605,1.0,0.001,76044.454720403,13.150202781738093,13.15544790122658,13.15544790122658,13.15544790122658,"{'sequential_qps': 80785.66755918633, 'random_qps': 81656.02063781551, 'repeated_qps': 84304.47404855832, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5637987473957508, 'backup_false_positive_rate': 0.001}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.001, 'actual_memory_usage_bytes': 719495, 'build_time_seconds': 18.76172512501944, 'built': True, 'model_eval': {'accuracy': 0.49972483490094055, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 1.666722224074136e-05, 'false_positive_rate': 0.0, 'threshold': 0.5637987473957508, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5637987473957508, 'model_fpr': 0.0, 'model_fnr': 0.9999833327777593, 'target_model_fpr': 0.001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 399759.0, 'model_false_negative_rate': 0.9999974984990995}, 'has_backup_filter': True}"
learned_synth_k31_k31_9a0192be26_run0,synth_k31,learned,"{'backup_false_positive_rate': 0.0001, 'model_threshold': 0.5}",31,399760,18.915550083038397,958977,2.3988818290974585,1.0,0.0001,71837.24916293463,13.920354852840925,13.664695800980553,13.664695800980553,13.664695800980553,"{'sequential_qps': 72493.27357726647, 'random_qps': 78950.50230144213, 'repeated_qps': 83989.5995874436, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5637987473957508, 'backup_false_positive_rate': 0.0001}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.0001, 'actual_memory_usage_bytes': 958977, 'build_time_seconds': 18.886096708010882, 'built': True, 'model_eval': {'accuracy': 0.49972483490094055, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 1.666722224074136e-05, 'false_positive_rate': 0.0, 'threshold': 0.5637987473957508, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5637987473957508, 'model_fpr': 0.0, 'model_fnr': 0.9999833327777593, 'target_model_fpr': 0.0001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 399759.0, 'model_false_negative_rate': 0.9999974984990995}, 'has_backup_filter': True}"
learned_synth_k31_k31_9a0192be26_run1,synth_k31,learned,"{'backup_false_positive_rate': 0.0001, 'model_threshold': 0.5}",31,399760,18.997729542083107,958977,2.3988818290974585,1.0,0.0002,73377.9909871727,13.62806458103781,13.658410450443625,13.658410450443625,13.658410450443625,"{'sequential_qps': 71353.69256952428, 'random_qps': 79656.92627626406, 'repeated_qps': 81596.60975910698, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5637987473957508, 'backup_false_positive_rate': 0.0001}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.0001, 'actual_memory_usage_bytes': 958977, 'build_time_seconds': 18.968840166926384, 'built': True, 'model_eval': {'accuracy': 0.49972483490094055, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 1.666722224074136e-05, 'false_positive_rate': 0.0, 'threshold': 0.5637987473957508, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5637987473957508, 'model_fpr': 0.0, 'model_fnr': 0.9999833327777593, 'target_model_fpr': 0.0001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 399759.0, 'model_false_negative_rate': 0.9999974984990995}, 'has_backup_filter': True}"
learned_synth_k31_k31_9a0192be26_run2,synth_k31,learned,"{'backup_false_positive_rate': 0.0001, 'model_threshold': 0.5}",31,399760,20.59012404095847,958977,2.3988818290974585,1.0,0.0001,65299.98643155027,15.313938863497848,15.220131195383146,15.220131195383146,15.220131195383146,"{'sequential_qps': 71811.63763337205, 'random_qps': 72091.32516028344, 'repeated_qps': 74625.9530838426, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 31, 'model_threshold': 0.5637987473957508, 'backup_false_positive_rate': 0.0001}, 'inserted_keys': 399760, 'target_false_positive_rate': 0.0001, 'actual_memory_usage_bytes': 958977, 'build_time_seconds': 20.556854165974073, 'built': True, 'model_eval': {'accuracy': 0.49972483490094055, 'avg_precision': 0.5121040076779171, 'true_positive_rate': 1.666722224074136e-05, 'false_positive_rate': 0.0, 'threshold': 0.5637987473957508, 'roc_auc': 0.5132758977832772, 'selected_threshold': 0.5637987473957508, 'model_fpr': 0.0, 'model_fnr': 0.9999833327777593, 'target_model_fpr': 0.0001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 399759.0, 'model_false_negative_rate': 0.9999974984990995}, 'has_backup_filter': True}"
