run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
xor_synth_k15_k15_3b806b23bb_run0,synth_k15,xor,"{'false_positive_rate': 0.01, 'fingerprint_bits': 7, 'backend': 'auto', 'hash_seed': 7}",15,399820,3.0223582909675315,430307,1.0762518133159922,1.0,0.007,306511.7814801995,3.262517333496362,3.2368666492402554,3.2368666492402554,3.2368666492402554,"{'sequential_qps': 332807.3126606786, 'random_qps': 337520.4539148984, 'repeated_qps': 350615.081033014, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 7, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 0.0078125, 'actual_memory_usage_bytes': 430307, 'build_time_seconds': 2.963690167060122, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_3b806b23bb_run1,synth_k15,xor,"{'false_positive_rate': 0.01, 'fingerprint_bits': 7, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.906387250055559,430307,1.0762518133159922,1.0,0.008,305952.1051412451,3.2684854367592684,3.2612521026749164,3.2612521026749164,3.2612521026749164,"{'sequential_qps': 320501.4038254936, 'random_qps': 339283.0308033973, 'repeated_qps': 348517.0673312674, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 7, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 0.0078125, 'actual_memory_usage_bytes': 430307, 'build_time_seconds': 2.841525709023699, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_3b806b23bb_run2,synth_k15,xor,"{'false_positive_rate': 0.01, 'fingerprint_bits': 7, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.8725479999557137,430307,1.0762518133159922,1.0,0.0074,316504.03988427354,3.1595173330667117,3.1039749970659614,3.1039749970659614,3.1039749970659614,"{'sequential_qps': 337369.9049912769, 'random_qps': 344520.035897737, 'repeated_qps': 344592.9079966301, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 7, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 0.0078125, 'actual_memory_usage_bytes': 430307, 'build_time_seconds': 2.8152382080443203, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_278801f348_run0,synth_k15,xor,"{'false_positive_rate': 0.001, 'fingerprint_bits': 10, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.9208921249955893,614724,1.53750187584413,1.0,0.0013,302393.8874739526,3.306945151416585,3.2074500049930066,3.2074500049930066,3.2074500049930066,"{'sequential_qps': 313136.0582207212, 'random_qps': 330647.44002385705, 'repeated_qps': 341803.0851941114, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 10, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 0.0009765625, 'actual_memory_usage_bytes': 614724, 'build_time_seconds': 2.8654614170081913, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_278801f348_run1,synth_k15,xor,"{'false_positive_rate': 0.001, 'fingerprint_bits': 10, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.9335345829604194,614724,1.53750187584413,1.0,0.0009,322457.77309168945,3.1011812505312264,3.037141653476283,3.037141653476283,3.037141653476283,"{'sequential_qps': 342340.6893515477, 'random_qps': 347760.2284841774, 'repeated_qps': 350972.2866576715, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 10, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 0.0009765625, 'actual_memory_usage_bytes': 614724, 'build_time_seconds': 2.8704328750027344, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_278801f348_run2,synth_k15,xor,"{'false_positive_rate': 0.001, 'fingerprint_bits': 10, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.8132430829573423,614724,1.53750187584413,1.0,0.0015,333973.06219252315,2.994253468932584,2.986825053812936,2.986825053812936,2.986825053812936,"{'sequential_qps': 339678.0747909275, 'random_qps': 342733.75858533324, 'repeated_qps': 344626.22069021274, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 10, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 0.0009765625, 'actual_memory_usage_bytes': 614724, 'build_time_seconds': 2.758377374964766, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_9f96afcd98_run0,synth_k15,xor,"{'false_positive_rate': 0.0001, 'fingerprint_bits': 14, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.682215083972551,860614,2.1525036266319844,1.0,0.0001,322826.16336790123,3.0976423644460738,3.0679187504574656,3.0679187504574656,3.0679187504574656,"{'sequential_qps': 342398.0091071655, 'random_qps': 340785.1690307706, 'repeated_qps': 350519.8430576462, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 14, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 6.103515625e-05, 'actual_memory_usage_bytes': 860614, 'build_time_seconds': 2.6285412079887465, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_9f96afcd98_run1,synth_k15,xor,"{'false_positive_rate': 0.0001, 'fingerprint_bits': 14, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.933575624949299,860614,2.1525036266319844,1.0,0.0,298095.54078209255,3.3546291815582663,3.3815645496360958,3.3815645496360958,3.3815645496360958,"{'sequential_qps': 275276.29678405955, 'random_qps': 329323.2090454756, 'repeated_qps': 338717.0597648497, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 14, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 6.103515625e-05, 'actual_memory_usage_bytes': 860614, 'build_time_seconds': 2.880868833977729, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
xor_synth_k15_k15_9f96afcd98_run2,synth_k15,xor,"{'false_positive_rate': 0.0001, 'fingerprint_bits': 14, 'backend': 'auto', 'hash_seed': 7}",15,399820,2.7165205830242485,860614,2.1525036266319844,1.0,0.0,327553.90146086505,3.0529326487643025,3.071714600082487,3.071714600082487,3.071714600082487,"{'sequential_qps': 342541.9962609495, 'random_qps': 309997.9544791014, 'repeated_qps': 345999.80239863927, 'batch_size': 5000}","{'filter_name': 'xor', 'parameters': {'fingerprint_bits': 14, 'backend': 'python:xor', 'requested_backend': 'auto', 'array_length': 491779, 'size_factor': 1.23, 'build_attempts': 1, 'hash_seed': 7}, 'inserted_keys': 399820, 'target_false_positive_rate': 6.103515625e-05, 'actual_memory_usage_bytes': 860614, 'build_time_seconds': 2.662252207985148, 'built': True, 'note': 'pure-Python peel-based XOR backend active'}"
